Region,N1_vegetation_coverage,N2_biodiversity_index,N3_climate_humidity_transparency,N4_geographic_sunlight_elevation
Region_1,0.8552610154549564,0.3062546523509315,0.9135716259135067,0.8897697577855102
Region_2,0.9499780702453366,0.5154628109172408,0.1667173054062711,0.33059265114758246
Region_3,0.33233487637365844,0.7125205665762264,0.060986709612310556,0.18467872563006357
Region_4,0.11015434559070678,0.34949658273352335,0.44581250587735594,0.026286495373640476
Region_5,0.23610368492709224,1.0,1.0,0.6241482450708202
Region_6,0.4489045978624563,0.9900151499074914,0.16950208352857196,0.718341753899981
Region_7,0.8665591886405505,0.22986037721396865,0.6498451268996683,0.0
Region_8,0.9121978143098007,0.4924205305201593,0.7497870492068388,0.5385094293194278
Region_9,0.0,0.2823753728901013,0.16456806353219758,0.22812556085212043
Region_10,0.538267103525128,0.2652207051283357,0.7124799981918964,0.68313896367074
Region_11,0.4385443147115375,0.0,0.30992355104061015,0.17147198223142748
Region_12,0.22987759921878495,0.6125578847951817,0.60536057724102,0.7328757866226653
Region_13,0.12063926828923574,0.4982292219241933,0.6067274902506136,0.4022720983131173
Region_14,0.35328849327844297,0.01560795788047115,0.4975479959676135,1.0
Region_15,1.0,0.2585953308948625,0.0,0.13142872971200006
