Region,H1_circadian_rhythm_disorder,H2_metabolic_obesity_index,H3_visual_function_impairment,H4_psychological_emotional
Region_1,0.6271503530179057,0.8146076071425323,0.3845258265689322,0.3321900854828064
Region_2,0.020220196998870968,0.6510316575585947,0.8538130995558366,0.711709123758082
Region_3,0.2506157750651001,0.352525413840866,0.9670729820113904,0.4863017663104612
Region_4,0.39106863088480337,0.4781626185603194,0.017982939592235524,0.4574793001000465
Region_5,0.8573364284179128,0.6686472697231821,0.0,0.8489467646915715
Region_6,0.8573618360466397,0.23462443796884647,0.16884379105877007,0.0
Region_7,0.9604991928618823,0.874048693592391,0.7098232153160488,0.21036432149120712
Region_8,0.10927097388425654,0.6674079619195995,0.9320439905583702,0.032547679274844345
Region_9,0.3884809747921717,0.5669414288589912,0.30217553512972933,0.0808748675372563
Region_10,0.2758140527863736,0.44550506986952837,0.5642772621624462,0.40210060907210665
Region_11,1.0,0.0,0.9058788462910793,0.0516146632216832
Region_12,0.0,0.7925841745779613,0.505190228894534,0.9531942774479186
Region_13,0.14480516107834618,0.3667688540975717,1.0,0.8369076901628674
Region_14,0.798009591976472,0.2609377635269707,0.060469286789764994,1.0
Region_15,0.8301525693217339,1.0,0.7590410482295036,0.6969753686382948
